"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bangladesh","BGD","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","1133.103","1375.125","1697.821","2126.86","2673.243","3164.621","3575.325","4169.379","4679.092","5764.524","4715.762","4946.783","715.065","1144.104","1382.459","964.421","1411.795","1580.477","1675.819","1917.841","2218.535","2442.222","3168.288","3523.987","4470.073","5089.796","5738.855","5933.206","7003.97","7422.008","7583.356","9064.824","9614.874","10399.612","11481.377","13039.852","13509.228","13274.54","14334.303","15628.754","16893.869","18918.053","19904.476","21407.946","23109.434","24744.916","28279.904","29603.691","32251.265","35470.891","39431.251","39658.605","41748.795","43369.609","45969.512","48782.101","53593.205","","","","","",
"Bulgaria","BGR","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","0","0","0","124.678","187.017","568.385","876.413","909.416","825.075","568.385","381.368","385.035","839.743","2225.869","3894.354","4968.785","5298.815","5669.182","7253.326","7898.718","8756.796","9207.837","9299.512","8958.481","9442.525","10791.981","12273.449","11030.336","11122.011","9515.865","8379.095","7832.712","7715.368","9446.192","10711.307","8474.437","7165.318","6153.226","6714.277","6274.237","5507.834","5727.854","5709.519","6420.917","6644.604","6893.96","6673.94","4950.45","5269.479","6024.881","5614.177","5493.166","5412.492","5944.207","6153.226","","","","","",
"Bahrain","BHR","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","0","95.342","95.342","95.342","113.677","113.677","517.047","594.054","671.061","979.089","2170.864","3076.613","3795.345","3993.363","4184.047","4543.413","4990.787","5397.824","5599.509","5650.847","6215.565","6563.93","6813.286","8247.083","9383.853","8995.151","9603.873","10010.91","10461.951","9944.904","9944.904","12519.138","12262.448","13054.52","13465.224","14502.985","15287.723","15841.44","16156.802","11958.087","12592.478","12984.847","13505.561","14304.967","15559.081","20883.565","22988.423","24194.866","24554.232","24304.876","24414.886","26200.715","28375.246","28261.569","27194.472","","","","","",
"Bahamas, The","BHS","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Bosnia and Herzegovina","BIH","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","788.405","267.691","322.696","282.359","473.043","282.359","322.696","330.03","458.375","300.694","282.359","370.367","583.053","693.063","729.733","770.07","762.736","436.373","458.375","520.714","480.377","374.034","348.365","407.037","421.705","","","","","",
"Belarus","BLR","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33941.752","32284.268","27880.201","26318.059","27737.188","31558.202","30953.147","31994.575","32658.302","33102.009","33703.397","35078.522","38045.125","38804.194","39511.925","39742.946","40524.017","33652.059","41569.112","39357.911","38701.518","39071.885","38738.188","36266.63","36042.943","","","","","",
"Belize","BLZ","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.001","11.001","7.334","7.334","3.667","3.667","3.667","","","","","",
"Bermuda","BMU","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Bolivia","BOL","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","11.001","84.341","80.674","84.341","91.675","106.343","132.012","139.346","128.345","190.684","62.339","69.673","99.009","117.344","286.026","249.356","304.361","337.364","645.392","678.395","667.394","674.728","667.394","605.055","465.709","421.705","462.042","605.055","594.054","865.412","1437.464","1507.137","1822.499","1881.171","2207.534","2453.223","2794.254","3369.973","2882.262","3105.949","5364.821","2702.579","4506.743","4070.37","3989.696","4514.077","7451.344","4140.043","4770.767","5031.124","5727.854","6127.557","6772.949","7051.641","7656.696","7869.382","8668.788","","","","","",
"Brazil","BRA","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","113.677","113.677","110.01","165.015","161.348","194.351","245.689","256.69","231.021","234.688","154.014","249.356","275.025","377.701","693.063","781.071","916.75","1133.103","1485.135","1631.815","1884.838","1686.82","2383.55","3380.974","4173.046","4998.121","5991.878","6644.604","6846.289","7311.998","7425.675","7264.327","7803.376","8522.108","8841.137","9486.529","10630.633","11800.406","12383.459","13923.599","18023.305","22900.415","28349.577","29211.322","36097.948","38279.813","40072.976","40579.022","48569.415","39156.226","52702.124","50523.926","59874.776","71136.133","78096.099","77241.688","66116.01","","","","","",
