"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Costa Rica","CRI","Agricultural land (sq. km)","AG.LND.AGRI.K2","","13950","14100","14200","14850","15550","16350","16360","17160","17900","18560","18870","18870","20480","20480","21220","22050","22870","23600","24430","25160","25990","26790","26820","27480","26810","26120","25390","24630","23780","21986","22036.18","21600","21130","20950","20480","19950","19530","19150","18880","18400","18330","18260","18290","18220","18050","18150","18000","17930","18160","18190","18190","18120","18010","17780","17775","17775","17795","17825","17755","17615","",
"Caribbean small states","CSS","Agricultural land (sq. km)","AG.LND.AGRI.K2","","22340","22370","22400","22420","22200","22340","22330","22350","22390","22320","22410","22390","22530","22549","22540","23360","24240","25150","25982","25975","25968","25800","25672","25725","25778","25842","25946.6","25973","26039.4","19643.3","19746.63","19839.96","20214.29","20196.62","20145.95","20144.28","20074.61","19993.94","20067.27","20074.8","20044.21","19918.62","20011.03","19931.74","19786.85","19823.36","19808.87","19711.48","19925.89","19931.3","20048.2","20117.1","20329","20490.9","20685.8","20767.8","20849.9","20941.9","20841.9","20841.9","",
"Cuba","CUB","Agricultural land (sq. km)","AG.LND.AGRI.K2","","35500","38050","40380","47550","45480","45100","46210","47270","47450","50220","50730","55810","58510","56310","58100","59970","60380","59480","58620","59370","59380","60830","61790","61420","62220","64510","67260","67880","67720","67410","67550","67750","67300","66860","66840","66150","66870","66740","66600","65540","66560","66540","66380","65280","66370","66300","66200","65670","65138","64612","64078","64056","63423","62788.8","62403","62267","63000","63000","64010","64010","",
"Curacao","CUW","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Agricultural land (sq. km)","AG.LND.AGRI.K2","","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","",
"Cyprus","CYP","Agricultural land (sq. km)","AG.LND.AGRI.K2","","4040","4020","4050","4030","4020","4000","4010","4010","3990","3980","3960","3940","3942","2870","1803","1779","1761","1743","1725","1715","1759","1820","1830","1820","1628","1632","1624","1614","1614","1606","1592","1596","1587","1434","1431","1432","1422","1442","1442","1415","1400","1400","1540","1560","1670","1570","1472","1156","1276","1145","1163","1169","1088.3","1089.8","1266.8","1093.9","1214.2","1318.867","1251.94","1341.289","",
"Czechia","CZE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42840","42800","42800","42800","42840","42820","42800","42780","36520.6","36684.2","36313.9","36054.9","35659.5","35967","35716.1","35458.7","35239.2","35040.4","35258.9","35210","35160","34940","34880","35210","35230","35236.59","35238.71","",
"Germany","DEU","Agricultural land (sq. km)","AG.LND.AGRI.K2","","193750","193930","194020","194580","195340","195310","194120","192850","192540","190230","189520","189490","188970","188210","187920","187580","187090","186590","185940","185190","184610","183960","183300","182840","182440","182080","181250","180970","180560","180320","171360","169510","171620","173080","173430","173370","173270","173730","171520","170680","170340","169670","170010","170130","170310","169460","169500","169210","168860","167000","167190","166640","166970","167250","167310","166590","166870","166450","166660","165950","",
"Djibouti","DJI","Agricultural land (sq. km)","AG.LND.AGRI.K2","","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","12990","13360","13710","14010","14010","14510","14810","15010","15010","15510","16010","16810","17010","17010","17010","17010","17013","17015","17012","17013","17016","17020","17020","17020","17020","17020","17020","17020","17020","17020","17020","",
"Dominica","DMA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","170","180","170","170","180","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","180","180","180","180","180","180","180","170","170","170","170","190","210","220","220","220","220","220","220","220","220","230","250","250","250","250","250","250","250","250","250","250","250","",
